match,team,opponent,team_score,opponent_score,result
Elche_RealSociedad,Elche,RealSociedad,0.0,2.0,loss
RealSociedad_Elche,RealSociedad,Elche,2.0,0.0,win
RealSociedad_Elche,RealSociedad,Elche,2.0,0.0,win
Elche_RealSociedad,Elche,RealSociedad,0.0,2.0,loss
RayoVallecano_Mallorca,RayoVallecano,Mallorca,0.0,3.0,loss
Mallorca_RayoVallecano,Mallorca,RayoVallecano,3.0,0.0,win
Mallorca_RayoVallecano,Mallorca,RayoVallecano,3.0,0.0,win
RayoVallecano_Mallorca,RayoVallecano,Mallorca,0.0,3.0,loss
Almeria_Sevilla,Almeria,Sevilla,2.0,2.0,win
Sevilla_Almeria,Sevilla,Almeria,2.0,2.0,loss
Sevilla_Almeria,Sevilla,Almeria,2.0,2.0,loss
Almeria_Sevilla,Almeria,Sevilla,2.0,2.0,win
Getafe_Villarreal,Getafe,Villarreal,0.0,0.0,draw
Villarreal_Getafe,Villarreal,Getafe,0.0,0.0,draw
Villarreal_Getafe,Villarreal,Getafe,0.0,0.0,draw
Getafe_Villarreal,Getafe,Villarreal,0.0,0.0,draw
Barcelona_RealValladolid,Barcelona,RealValladolid,5.0,1.0,win
RealValladolid_Barcelona,RealValladolid,Barcelona,1.0,5.0,loss
RealValladolid_Barcelona,RealValladolid,Barcelona,1.0,5.0,loss
Barcelona_RealValladolid,Barcelona,RealValladolid,5.0,1.0,win
Espanyol_RealMadrid,Espanyol,RealMadrid,2.0,4.0,loss
RealMadrid_Espanyol,RealMadrid,Espanyol,4.0,2.0,win
RealMadrid_Espanyol,RealMadrid,Espanyol,4.0,2.0,win
Espanyol_RealMadrid,Espanyol,RealMadrid,2.0,4.0,loss
Cadiz_AthleticClub,Cadiz,AthleticClub,1.0,5.0,loss
AthleticClub_Cadiz,AthleticClub,Cadiz,5.0,1.0,win
AthleticClub_Cadiz,AthleticClub,Cadiz,5.0,1.0,win
Cadiz_AthleticClub,Cadiz,AthleticClub,1.0,5.0,loss
Valencia_AtleticoMadrid,Valencia,AtleticoMadrid,0.0,1.0,loss
AtleticoMadrid_Valencia,AtleticoMadrid,Valencia,1.0,0.0,win
AtleticoMadrid_Valencia,AtleticoMadrid,Valencia,1.0,0.0,win
Valencia_AtleticoMadrid,Valencia,AtleticoMadrid,0.0,1.0,loss
CeltaVigo_Cadiz,CeltaVigo,Cadiz,3.0,0.0,win
Cadiz_CeltaVigo,Cadiz,CeltaVigo,0.0,3.0,loss
Cadiz_CeltaVigo,Cadiz,CeltaVigo,0.0,3.0,loss
CeltaVigo_Cadiz,CeltaVigo,Cadiz,3.0,0.0,win
Mallorca_GironaFC,Mallorca,GironaFC,1.0,1.0,draw
